1 nVtx 151488 Nnz 9888463
2 nVtx 151488 Nnz 6558590
3 nVtx 151488 Nnz 5107453
4 nVtx 151488 Nnz 5952252
5 nVtx 151488 Nnz 5007749
6 nVtx 151488 Nnz 3761221
7 nVtx 151488 Nnz 3579450
8 nVtx 151488 Nnz 3065160
9 nVtx 151488 Nnz 2533733
10 nVtx 151488 Nnz 2542321
11 nVtx 151488 Nnz 2855464
12 nVtx 151488 Nnz 1798258
13 nVtx 151488 Nnz 1789256
14 nVtx 151488 Nnz 1605423
15 nVtx 151488 Nnz 1307344
16 nVtx 151488 Nnz 1083857
17 nVtx 151488 Nnz 1267745
18 nVtx 151488 Nnz 1170249
19 nVtx 151488 Nnz 865360
20 nVtx 151488 Nnz 796302
21 nVtx 151488 Nnz 850748
22 nVtx 151488 Nnz 929670
23 nVtx 151488 Nnz 675532
24 nVtx 151488 Nnz 585742
25 nVtx 151488 Nnz 493726
26 nVtx 151488 Nnz 484226
27 nVtx 151488 Nnz 504106
28 nVtx 151488 Nnz 496483
29 nVtx 151488 Nnz 439252
30 nVtx 151488 Nnz 361473
31 nVtx 151488 Nnz 309888
32 nVtx 151443 Nnz 327277
